GCF_001743795.1	GCA_003812925.1	Klebsiella oxytoca
GCF_002957425.1	GCA_901421005.1	Raoultella ornithinolytica
GCF_000843225.1	GCA_000014045.1	Roseobacter denitrificans
GCF_000843225.1	GCA_002983865.1	Roseobacter denitrificans
GCF_001503595.1	GCA_018139125.1	Acinetobacter soli
GCF_002609105.1	GCA_963903195.1	Nodularia spumigena
GCF_000882635.1	GCA_001936235.1	Lactobacillus jensenii
GCF_002618085.1	GCA_900460525.1	Yersinia kristensenii
GCF_001504235.1	GCA_000743815.1	Bacillus cereus
GCF_001504235.1	GCA_002220285.1	Bacillus cereus
GCF_001504235.1	GCA_000832845.1	Bacillus cereus
GCF_001504235.1	GCA_006094295.1	Bacillus cereus
GCF_001504235.1	GCA_000283675.1	Bacillus cereus
GCF_001744615.1	GCA_000743815.1	Bacillus cereus
GCF_001744615.1	GCA_002220285.1	Bacillus cereus
GCF_001744615.1	GCA_000832845.1	Bacillus cereus
GCF_001744615.1	GCA_006094295.1	Bacillus cereus
GCF_001744615.1	GCA_000283675.1	Bacillus cereus
GCF_009932005.1	GCA_000743815.1	Bacillus cereus
GCF_009932005.1	GCA_002220285.1	Bacillus cereus
GCF_009932005.1	GCA_000832845.1	Bacillus cereus
GCF_009932005.1	GCA_006094295.1	Bacillus cereus
GCF_009932005.1	GCA_000283675.1	Bacillus cereus
GCF_000864445.1	GCA_000743815.1	Bacillus cereus
GCF_000864445.1	GCA_002220285.1	Bacillus cereus
GCF_000864445.1	GCA_000832845.1	Bacillus cereus
GCF_000864445.1	GCA_006094295.1	Bacillus cereus
GCF_000864445.1	GCA_000283675.1	Bacillus cereus
GCF_000880955.1	GCA_000743815.1	Bacillus cereus
GCF_000880955.1	GCA_002220285.1	Bacillus cereus
GCF_000880955.1	GCA_000832845.1	Bacillus cereus
GCF_000880955.1	GCA_006094295.1	Bacillus cereus
GCF_000880955.1	GCA_000283675.1	Bacillus cereus
GCF_004135185.1	GCA_000743815.1	Bacillus cereus
GCF_004135185.1	GCA_002220285.1	Bacillus cereus
GCF_004135185.1	GCA_000832845.1	Bacillus cereus
GCF_004135185.1	GCA_006094295.1	Bacillus cereus
GCF_004135185.1	GCA_000283675.1	Bacillus cereus
GCF_000898195.1	GCA_000743815.1	Bacillus cereus
